date,SPY
2020-09-01,0.009408147578785497
2020-09-02,0.014468033261247015
2020-09-03,-0.034408214736083576
2020-09-04,-0.00817786069651738
2020-09-08,-0.027306643257986707
2020-09-09,0.019725391607039233
2020-09-10,-0.01735255073013464
2020-09-11,0.0005146514844478478
2020-09-14,0.013149011412955991
2020-09-15,0.005077108586659884
2020-09-16,-0.0039780261413145945
2020-09-17,-0.00881196906301518
2020-09-18,-0.011512631915573945
2020-09-21,-0.011129084438692982
2020-09-22,0.010207420009160417
2020-09-23,-0.023188030312844
2020-09-24,0.0026523440090180372
2020-09-25,0.016169565504926986
2020-09-28,0.016595620057922034
2020-09-29,-0.005441567171345474
2020-09-30,0.007595507064465323
2020-10-01,0.006420289392148781
2020-10-02,-0.009489653421353328
2020-10-05,0.017719247652920656
