,fmp_alpha,mom_1m,mom_3m,mom_12m
UNH,0.0,-0.4593307335725063,-0.01673395461820837,0.03199175210194927
PG,0.0,0.38887495724499743,0.4740036002634538,0.04581562506175352
MA,0.0,0.4765093281282353,0.2034620360474131,0.1992204682397971
HD,0.0,-0.23508644684627011,-0.30929107506908826,0.05375697257026679
BAC,0.0,-0.7624447325022436,-0.7906339510337044,-0.12491533678561063
CVX,0.0,-1.060874347566549,-0.30056069313128253,-0.025486268809415735
LLY,0.0,2.0950058860235523,1.107881423371265,0.4269560733163825
XOM,0.0,-1.170629302412518,-0.3307516106872037,0.22864451695934862
AVGO,0.0,0.499077819753381,0.37104380774423706,0.2062156087969509
COST,0.0,-0.007732051726925703,-0.10623672613043977,0.05224414087174967
ABBV,0.0,-1.233362054418551,-0.14661414145506058,-0.018049512333321638
PFE,0.0,-1.0433781054320583,-0.6034795328933358,-0.25825202968134486
MRK,0.0,0.0028016682599019127,0.3035963026742712,0.2680993607133203
PEP,0.0,0.4661057750768247,0.38271388185933874,0.1325338197763517
KO,0.0,-0.07638369390131494,0.2676983040998637,0.001499745756115889
ADBE,0.0,-0.6190460699805835,-0.14737247169693468,-0.03728875292934908
CSCO,0.0,-0.6275947401134045,-0.01497826341960895,0.044173151661490606
WMT,0.0,0.023631911651192272,0.11987202615237313,0.058015564761398464
MCD,0.0,0.10864007438406986,0.41438636146052277,0.22237370318972716
ACN,0.0,0.22187741109886794,0.006457711147417555,0.057727308573648384
CRM,0.0,0.6657177019426403,0.8592684787663734,0.33410787970069233
TMO,0.0,-1.3395512635917366,-0.3053511275654066,0.010914346129791364
DIS,0.0,-0.920278865601087,-0.6033965440494962,-0.058540761783320794
LIN,0.0,0.01225316046995939,0.41024302522364886,0.2137038515622003
NFLX,0.0,0.25309365513192184,-0.18613927413800946,0.725252630136003
ABT,0.0,0.5685781621221779,0.10498187969938488,0.04071663515795021
DHR,0.0,-1.4731252568306,-0.4897707843533876,-0.034020860850274115
WFC,0.0,-0.24819253851728765,-0.5728689369610023,0.03897187924277734
CMCSA,0.0,0.6937776876854516,0.15555934793626847,0.038397802662402114
VZ,0.0,-0.8455595617240883,-0.3527103009305059,-0.2186736252994892
NEE,0.0,-0.4311562817721599,-0.035597881836471945,0.1332896665113602
NKE,0.0,-0.8879843102069387,-0.3034035766493819,0.12211805080059224
PM,0.0,-0.9415850998142243,-0.24200510523102947,-0.048185190568043934
TXN,0.0,-0.918728746120494,-0.25220967179497755,0.0531735105603377
HON,0.0,0.029012123541435564,-0.05497290389151255,0.056537558683295686
UPS,0.0,-1.2924267891495789,-0.2331451994481153,0.027821838563275136
LOW,0.0,0.0345654339738255,-0.09546532082208348,0.13226567942227108
RTX,0.0,-0.9463970300672959,-0.15805745894944545,0.09631986515472846
MS,0.0,-0.6877365094679537,-0.6610355703330231,0.12613904243711427
INTC,0.0,-1.0638515712474512,0.0858255232620646,-0.2867004488181336
GS,0.0,-0.11485983717625992,-0.4403527267006253,0.15057627069603408
AMD,0.0,1.8826034299612102,0.8924062389186815,0.24695276391951027
IBM,0.0,-0.02426620054660722,-0.2600413152590657,0.0011115123205341915
SBUX,0.0,-0.12419774163621301,-0.07137531467933389,0.443385278191035
CAT,0.0,-0.6310145312462607,-0.5705640061681225,0.0995132040325023
DE,0.0,-0.877785104655179,-0.3686817784887153,0.054334670265969276
UNP,0.0,-0.01860785140707044,-0.017490994998692333,-0.07571364560977656
BA,0.0,-0.06749306518866671,-0.15679188862096982,0.5958583515419669
AAPL,0.0,0.5589260559853071,0.5484161000639252,0.2175846118163749
MSFT,0.0,1.264087154073155,0.8240225648067461,0.24415925841776775
AMZN,0.0,1.5625720341573035,0.7922672520139034,0.12174525056196517
NVDA,0.0,1.5859228887006926,1.5554702899607245,0.7132447536373636
GOOGL,0.0,2.020818816916971,1.049961836115064,0.1265883086503774
GOOG,0.0,1.990055960771196,1.0615734014324092,0.1313391427263252
META,0.0,1.7423640917549905,1.5140792939846812,0.37134955234190503
TSLA,0.0,-0.11721089674544505,-0.40462906683719746,-0.15827251902270578
BRK-B,0.0,0.2533719213988519,0.2837281352826686,0.06969440180779607
JPM,0.0,-0.1223981381007917,0.012436968530121995,0.20508877264236547
JNJ,0.0,-0.2969501486638415,0.048545181788264724,-0.08018023602595858
V,0.0,0.09013679887718551,0.1563680320051617,0.17125688078429546
UNH,0.0,-0.16270075462065137,-0.031014672061452142,0.013703477803043151
PG,0.0,0.18879685116397793,0.4604971988219,0.03220259974907547
MA,0.0,0.6164682149298515,0.27792286948170597,0.18448840853664894
HD,0.0,-0.0392445578345324,-0.2781303727440396,0.046503993252912657
BAC,0.0,-0.6108620328418533,-0.7742139996410988,-0.1624503595383111
CVX,0.0,-1.086116660398719,-0.24784116829108305,-0.03260407833613088
LLY,0.0,2.0885469729884973,1.2185131809728764,0.42120978759146277
