date,Hybrid_Model
2020-08-31,-0.0017150647638103146
2020-09-01,0.006416699355078256
2020-09-02,0.015263313064534998
2020-09-03,-0.03202290002883954
2020-09-04,-0.005622071152289454
2020-09-08,-0.02603962566309418
2020-09-09,0.01960267920250816
2020-09-10,-0.013948836649756801
2020-09-11,0.0041620507647555744
2020-09-14,0.01298223345197904
2020-09-15,0.005742638457708514
2020-09-16,-0.003022004803071565
2020-09-17,-0.007166864494736677
2020-09-18,-0.008288461704750562
2020-09-21,-0.011932626931497357
2020-09-22,0.005623785168702545
2020-09-23,-0.0218701272289034
2020-09-24,0.0014972127757242124
2020-09-25,0.013265519654715969
2020-09-28,0.016530831496836908
2020-09-29,-0.004408687961395638
2020-09-30,0.008895731607797192
2020-10-01,0.002940353411145633
2020-10-02,-0.008972932903984718
2020-10-05,0.016882853798365374
